name	harmonized_name
ENTRADA THERAPEUTICS INC	Entrada Therapeutics
EPC NATURAL PRODUCTS CO LTD	EPC Natural Products Co.,Ltd.
EPICS THERAPEUTICS	EPICS Therapeutics
EPINOVA THERAPEUTICS CORP	Epinova Therapeutics
EPIZYME INC	Epizyme
ESAI R & D MAN CO LTD	Eisai
ESCIENT PHARMACEUTICALS INC	Escient pharmaceuticals
ESPERION THERAPEUTICS INC	Esperion Therapeutics
ESSENLIX CORP	Essenlix Corporation
ESSENTIAL NUTRITION LTD	Essential Nutrition
ESSILOR INT	Essilor International
ESTEVE PHARMACEUTICALS SA	Esteve
ESTRYX PHARMA LTD	EstryX Pharma Limited
ETERN BIOPHARMA SHANGHAI CO LTD	ETERN BioPharma
ETH ZUERICH	ETH Zurich
ETH ZÃ¼rich	ETH Zurich
EUROFINS DISCOVERX CORP	DiscoverX
EUROSCREEN SA	Euroscreen
EVESTRA INC	Evestra
EVOTEC NEUROSCIENCES GMBH	Evotec
EWHA UNIVERSITY-INDUSTRY COLLABORATION FOUND	Ewha University-Industry Collaboration Foundation
EXELIXIS INC	Exelixis
EXONHIT THERAPEUTICS SA	ExonHit Therapeutics
EXPOTREND COMPANY SA	Expotrend Company
F HOFFMANN-LA ROCHE AG	Roche
F. HOFFMAN-LA ROCHE, A SWISS COMPANY	Roche
F. HOFFMANN-LA ROCHE AG	Roche
F. HOFFMANN-LA ROCHE AG, A SWISS COMPANY	Roche
FABIUS BIOTECHNOLOGY	Fabius Biotechnology
FABRE PIERRE DERMO COSMETIQUE	Pierre Fabre
FAMILIES OF SPINAL MUSCULAR ATROPHY	Cure SMA
FAUST PHARMACEUTICALS	Domain Therapeutics
FDC LTD	FDC Ltd
FERRER INT	Ferrer
FIMECS INC	FIMECS
FIRMENICH INCORPORATED	Sentarom
FIRST WAVE BIO INC	First Wave BioPharma
FLAGSHIP PIONEERING INNOVATIONS V INC	Flagship Pioneering
FLAVOLOGIC GMBH	FlavoLogic
FLORIDA A & M UNIVERSITY	Florida Agricultural and Mechanical University
FMC CORP	FMC Corporation
FOLLICA INC	Follica
FOND ISTITUTO ITALIANO DI TECHNOLOGIA	Italian Institute of Technology
FOND ISTITUTO ITALIANO DI TECNOLOGIA	Italian Institute of Technology
FOND TELETHON	Telethon
FONDAZIONE ST ITALIANO TECNOLOGIA	Italian Institute of Technology
FORMA THERAPEUTICS INC	Forma Therapeutics
FORMA TM LLC	Forma Therapeutics
FORSCHUNGSVERBUND BERLIN EV	Research Association Berlin
FOSCAMA BIOMED CHIM FARMA	Biomedica Foscama
FOSUN ORINOVE PHARMATECH INC	Fosun Pharma
FOUNDATION MEDICINE INC	Foundation Medicine
FOURNIER LAB SA	Fournier Lab
FRAUNHOFER GES FORSCHUNG	Fraunhofer-Gesellschaft
FRAUNHOFER GES ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E V	Fraunhofer-Gesellschaft
FRAUNHOFER-GESELLSCHAFT ZUR FÃ–RDERUNG DER ANGEWANDTEN FORSCHUNG E V	Fraunhofer-Gesellschaft
FRESENIUS KABI IPSUM S R L	Fresenius Kabi iPSUM
FRESENIUS KABI ONCOLOGY LTD	Fresenius Kabi Oncology Limited
FRESH CHECK LTD	Fresh Check
FRITO LAY NORTH AMERICA INC	Frito-Lay
FRITO-LAY NORTH AMERICA INC	Frito-Lay
FUJI PHOTO FILM CO LTD	Fujifilm
FUJIFILM CELLULAR DYNAMICS INC	Fujifilm
FUJIFILM CORP	Fujifilm
FULLGREEN LTD	Fullgreen
FUND INST DE RECERCA BIOMEDICA (IRB BARCELONA)	Institute for Research in Biomedicine
FUNDACAO DE AMPARO A PESQUISA	Sao Paulo Research Foundation
FUNDACAO DE AMPARO A PESQUISA DO ESTADO DE SAO PAULO	Sao Paulo Research Foundation
FUNDACIO DE AMPARO PESQUISA DO	Sao Paulo Research Foundation
FUNDACIO INST DE RECERCA BIOMEDICA IRB BARCELONA	Institute for Research in Biomedicine
FUNDACIO INST DE RECERCA BIOMEDICA IRB BARCELONA0	Institute for Research in Biomedicine
FUNDACION DEL SECTOR PUBLICO ESTATAL CENTRO NAC DE INVESTIGACIONES ONCOLOGICAS CARLOS III F S P CNIO	National Cancer Research Center (CNIO)
FUNDACIÃ“N IMDEA ALIMENTACIÃ“N	IMDEA Food Institute
FUNDACIÓ INST DE RECERCA BIOMÈDICA (IRB BARCELONA)	Institute for Research in Biomedicine
FUNDACIÓ INST DE RECERCA BIOMÈDICA (IRB BARCELONA)	Institute for Research in Biomedicine
G AT THE UNIVERSITY OF SOUTHER	University of Southern California
G1 THERAPEUTICS INC	G1 Therapeutics
GALAPAGOS GENOMICS NV	Galapagos
GALAPAGOS NV	Galapagos
GALDERMA RES & DEV	Galderma
GALLEON PHARMACEUTICALS INC	Galleon Pharmaceuticals
GE BAYER SILICONES GMBH & CO	GE Bayer Silicones
GEN ELECTRIC	General Electric
GEN HOSPITAL CORP	Massachusetts General Hospital
GENENTECH INC	Genentech
GENENTECH, INC.	Genentech
GENFLEET THERAPEUTICS SHANGHAI INC	GenFleet Therapeutics
GENMEDICA THERAPEUTICS SL	Genmedica Therapeutics
GENOSCIENCE PHARMA	Genoscience Pharma
GENZYME CORP	Sanofi
GEORGIA TECH RES INST	Georgia Tech Research Institute
GI THERAPEUTICS INC	G1 Therapeutics
GILEAD CONNECTICUT INC	Gilead Sciences
GILEAD CONNECTICUT, INC.	Gilead Sciences
GILEAD PHARMASSET LLC	Gilead Sciences
GILEAD SCIENCES INC	Gilead Sciences
GLAXO GROUP LIMITED	GlaxoSmithKline
GLAXO GROUP LTD	GlaxoSmithKline
GLAXOSMITHKLINE INTELLECTUAL PROPERTY (NO 2) LTD	GlaxoSmithKline
GLAXOSMITHKLINE INTELLECTUAL PROPERTY DEV LIMIT	GlaxoSmithKline
GLAXOSMITHKLINE IP DEV LTD	GlaxoSmithKline
GLAXOSMITHKLINE IP NO 2 LTD	GlaxoSmithKline
GLAXOSMITHKLINE K K	GlaxoSmithKline
GLAXOSMITHKLINE LLC	GlaxoSmithKline
GLENMARK PHARMACEUTICALS LTD	Glenmark Pharma
GLENMARK PHARMACEUTICALS SA	Glenmark Pharma
GLIATECH INC	Gliatech
GLOBAL BLOOD THERAPEUTICS INC	Global Blood Therapeutics
GLOBAL GENOMICS GROUP LLC	G3 Therapeutics
GLUCOX BIOTECH AB	Glucox Biotech AB
GLYCON LLC	Glycon
GLYSURE LTD	Glysure
GOODYEAR TIRE & RUBBER	Goodyear Tires
GOV OF USA AS REPRESENTED BY THE SECRETARY DEPT OF HEALTH AND HUMAN SERVICES NAT INST OF HEALTH	United States Department of Health and Human Services
GOVERNING COUNCIL UNIV TORONTO	The University of Toronto Governing Council
GOVERNMENT OF THE U S A AS REP	Federal government of the United States
GOVERNMENT OF THE UNITED STATES	Federal government of the United States
GRAYBUG VISION INC	Graybug Vision
GREEN CROSS CORP	Green Cross Corporation
GRINDEKS JSC	Grindeks
GRUENENTHAL GMBH	Gruenenthal
GSF FORSCHUNGSZENTRUM UMWELT	GSF Research Center for Environment and Health GmbH
GUANGZHOU ESA BIOTECH CO LTD	Esa Biotech
GUANGZHOU HENOVCOM BIOSCIENCE CO LTD	Henovcom Bioscience
GUANGZHOU INST BIOMED & HEALTH	Guangzhou Institute of Biomedicine and Health
GUANGZHOU INST OF BIOMEDICINE AND HEALTH	Guangzhou Institute of Biomedicine and Health
GUILFORD PHARM INC	Guilford Pharmaceuticals
GUIZHOU BAILING ENTPR GROUP PHARMACEUTICAL CO LTD	Guizhou Bailing
GrÃ¼nenthal GmbH	Grunenthal GmbH
H LEE MOFFITT CANCER CT & RES	Moffitt Cancer
H LUNDBECK AS	Lundbeck
H. LUNDBECK A/S	Lundbeck
HAFTUNG MERCK PATENT GES MIT BESCHRANKTER	Merck
HALOZYME INC	HALOZYME INC
HANALL BIOPHARMA CO LTD	Hanall Biopharma
HANGZHOU BENSHENG PHARMACEUTICAL CO LTD	Hangzhou Bensheng Pharmaceutical
HANGZHOU MINSHENG INSTITUTES FOR PHARMA RES CO LTD	Hangzhou Minsheng Pharmaceutical Co., Ltd
HANGZHOU XINGLU TECH CO LTD	Hangzhou Xinglu Industry Co., Ltd
HANMI HOLDINGS CO LTD	Hanmi Pharmaceutical
HANMI PHARM IND CO LTD	Hanmi Pharmaceutical
HANMI SCIENCE CO LTD	Hanmi Pharmaceutical
HARBIN ZHENBAO PHARMACEUTICAL CO LTD	Harbin Pharmaceutical
HARVARD COLLEGE	Harvard College
HASEGAWA T CO LTD	T. Hasegawa
HEALTH AND HUMAN SERVICES, DEPARTMENT OF, GOVERNMENT OF THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE, THE	United States Department of Health and Human Services
HEART RES INST LTD	Heart Research Institute
HEFEI INST PHYSICAL SCI CAS	Hefei Institutes of Physical Science
HELMHOLTZ INFEKTIONSFORSCHUNG	Helmholtz Centre for Infection Research
HELMHOLTZ ZENTRUM MÃœNCHEN DEUTSCHES FORSCHUNGSZENTRUM FÃœR GESUNDHEIT UND UMWELT GMBH	Helmholtz Zentrum Munchen - German Research Center for Environmental Health
HELSINGIN YLIOPISTO	University of Helsinki
HENKEL AG & CO KGAA	Henkel
HENKEL KGAA	Henkel
HEPTARES THERAPEUTICS LTD	Sosei Heptares
HETERO DRUGS LTD	Hetero Drugs
HETERO RESEARCH FOUNDATION	Hetero
HIGH POINT PHARMACEUTICALS LLC	High Point Pharmaceuticals
HIGH POINT PHARMACEUTICALS, LLC	High Point Pharmaceuticals
HINOVA PHARMACEUTICALS INC	Hinova Pharmaceuticals
HLB CO., LTD.	HLB
HOECHST AG	Hoechst AG
HOECHST MARION ROUSSEL DE GMBH	Hoechst AG
HOECHST MARION ROUSSEL INC	Hoechst AG
HOFFMANN LA ROCHE	Roche
HOFFMANN-LA ROCHE INC.	Roche
HOKKO CHEM IND CO	Hokko
HOLOGIC INC	Hologic
HONEYWELL INT INC	Honeywell
HONSHU CHEMICAL IND	Honshu Chemical Industry
HOPE CITY	Hope City
HORIZON ORPHAN LLC	Horizon Therapeutics
HOSPITAL FOR SICK CHILDREN	The Hospital for Sick Children
HOUSE FOODS CORP	House Foods Group
HOVIONE SCIENTIA LTD	Hovione
HUMAN BIOMOLECULAR RES INST	Human BioMolecular Research Institute
HUMAN BIOMOLECULAR RES INSTITUTE	Human BioMolecular Research Institute
HUTCHISON MEDIPHARMA LIMITED	HUTCHMED
HUTCHISON MEDIPHARMA LTD	HUTCHMED
HYBRIGENICS SA	Hybrigenics
HYDRA BIOSCIENCES INC	Hydra Biosciences
HYDRA BIOSCIENCES LLC	Hydra Biosciences
HYDRO QUEBEC	Hydro-Quebec
HYPHA DISCOVERY LTD	Hypha Discovery
Hoffmann-La Roche Inc	Roche
IAC IN NAT UNIV CHUNGNAM	Industry & Academic Cooperation in Chungnam National University (IAC)
ICAGEN INC	Icagen
ICAHN SCHOOL MED MOUNT SINAI	Icahn School of Medicine at Mount Sinai
ICHIMARU PHARCOS INC	Ichimaru Pharcos
ID PHARMA GMBH	ID PHARMA APO
IKENA ONCOLOGY INC	Ikena Oncology
IMAGO PHARMACEUTICALS INC	Imago BioSciences
IMAX DISCOVERY GMBH	IMAX Discovery GmbH
IMBA - INST FÃœR MOLEKULARE BIOTECHNOLOGIE GMBH	Institute of Molecular Biotechnology of the OeAW
IMBA-INSTITUT FÃœR MOLEKULARE BIOTECHNOLOGIE GMBH	Institute of Molecular Biotechnology of the OeAW
IMBRIA PHARMACEUTICALS INC	Imbria
IMCHECK THERAPEUTICS SAS	Imcheck Therapeutics
IMMUNIC AG	Immunic
IMMUNOLIGHT LLC	Immunolight
IMMUNOMEDICS INC	Gilead Sciences
IMMUNOMET THERAPEUTICS INC	ImmunoMet Therapeutics
IMMUNWORK INC	Immunwork
IMPOSSIBLE FOODS INC	Impossible Foods
INBIOMOTION SL	Inbiomotion
INCOZEN THERAPEUTICS PVT LTD	Incozen
INCYTE CORP	Incyte
INCYTE CORPORATION	
INCYTE HOLDINGS CORP	Incyte
IND CHIMICA SRL	Industriale Chimica
IND RES LTD	Indiana Resources
INDENA S.P.A.	Indena
INDENA SPA	Indena
INDIAN INST TECHNOLOGY MADRAS	Indian Institute Of Technology
INDIVIOR UK LTD	Indivior
INDUSTRY-ACADEMIC COOP FOUND YONSEI UNIV	Yonsei University Wonju Industry-Academic Cooperation
INDUSTRY-ACADEMIC COOPERATION FOUNDATION YONSEI UNIV	Yonsei University Wonju Industry-Academic Cooperation
INFINITY PHARMACEUTICALS INC	Infinity Pharmaceuticals
INGENIUM PHARMACEUTICALS AG	Helmholtz Zentrum München
INHIBITAXIN LTD	Inhibitaxin Ltd.
INMED PHARMACEUTICALS INC	InMed Pharmaceuticals
INNATE PHARMA	Innate Pharma
INSCENT INC	Inscent
INSECTERGY LLC	Insectergy
INSERM (INSTITUT NAT DE LA SANTÃ‰ ET DE LA RECH MÃ‰DICALE)	French National Institute of Health and Medical Research (Inserm)
INSERM (INSTITUT NATIONAL DE LA SANTE ET DE LA RECH MEDICALE)	French National Institute of Health and Medical Research (Inserm)
INSERM (INSTITUT NATIONAL DE LA SANTÃ‰ ET DE LA RECH MÃ‰DICALE)	French National Institute of Health and Medical Research (Inserm)
INSERM INST NAT DE LA SANTÃ‰ ET DE LA RECH MÃ‰DICALE	French National Institute of Health and Medical Research (Inserm)
INST BIOCHEMII I BIOFIZYKI PAN	Institute of Biochemistry and Biophysics
INST BIOCHEMII I BIOFIZYKI POLSKIEJ AKADEMI NAUK	Institute of Biochemistry and Biophysics
INST BIOCHEMII I BIOFIZYKI POLSKIEJ AKADEMII NAUK	Institute of Biochemistry and Biophysics
INST CANCER RES D B A THE RES INST OF FOX CHASE CANCER CT	Fox Chase Cancer Center
INST CATALANA RECERCA ESTUDIS AVANCATS	ICREA
INST DE MEDICINA MOLECULAR JOAO LOBO ANTUNES	Institute of Molecular Medicine (iMM)
INST DE RECERCA CONTRA LA LEUCEMIA JOSEP CARRERAS	Josep Carreras Leukaemia Research Institute
INST HEPATITIS & VIRUS RES	Institute for Hepatitis and virus research
INST MATERIA MEDICA CAMS	Chinese Academy of Medical Sciences
INST MEDICAL W & E HALL	Walter and Eliza Hall Institute of Medical Research
INST NAT DE LA SANTÉ ET DA LA RECH MÉDICALE (INSERM)	French National Institute of Health and Medical Research (Inserm)
INST NAT RECH MEDICALE INSERM	French National Institute of Health and Medical Research (Inserm)
INST NAT SANTE RECH MED	French National Institute of Health and Medical Research (Inserm)
INST ONEWORLD HEALTH	Institute for One World Health
INST QUIMIC DE SARRIA CETS FUNDACIO PRIVADA	Chemical Institute of Sarria
INSTITUCIÃ“ CATALANA DE RECERCA I ESTUDIS AVANÃ‡ATS	Catalan Institution for Research and Advanced Studies (ICREA)
INSTITUTE FOR CANCER RES D/B/A THE RES INSTITUTE OF FOX CHASE CANCER CENTER	Fox Chase Cancer Center
INSTITUTE NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (I.N.S.E.R.M.)	French National Institute of Health and Medical Research (Inserm)
INTE LIGAND	Inte:Ligand
INTE LIGAND SOFTWARE ENTWICKLU	Inte:Ligand
INTEGRAL EARLY DISCOVERY INC	Integral Early Discovery
INTERCEPT PHARMACEUTICALS INC	Intercept Pharmaceuticals
INTERMED DISCOVERY GMBH	InterMed Discovery
INTERMUNE INC	Roche
INTERNAT MEDICAL INNOVATIONS I	Medical Innovations International
INTERQUIM SA	Interquim
INTERVET INT BV	Intervet International B.V.
INTEZYNE TECH INC	Intezyne
INTEZYNE TECHNOLOGIES	Intezyne
INTEZYNE TECHNOLOGIES INC	Intezyne
INTIMA BIOSCIENCE INC	Intima Bioscience
INVENTISBIO CO LTD	InventisBio
IONIS PHARMACEUTICALS INC	Ionis Pharmaceuticals
IPSEN BIOPHARM LTD	Ipsen
IPSEN PHARMA SAS	Ipsen
IRM LLC	IRM
IRONWOOD PHARMACEUTICALS INC	Ironwood Pharmaceuticals
ISIS INNOVATION	Oxford University Innovation
ISIS INNOVATION LIMITED	Oxford University Innovation
ISIS PHARMACEUTICALS INC	Ionis Pharmaceuticals
ISIS PHARMACEUTICALS, INC.	Ionis Pharmaceuticals
ISP INVESTMENTS INC	ISP Group
ISTANBUL UNIV REKTORLUGU	Istanbul University
ITALFARMACO SPA	Italfarmaco Holding
ITHERX PHARMA INC	iTherX
ITHERX PHARMACEUTICALS INC	iTherX
IUCF HYU ERICA CAMPUS	Hanyang University
IXCHELSIS LTD	Ixchelsis Limited
Ipsen Biopharm Limited	Ipsen
JACKSON LAB	The Jackson Laboratory
JACOBIO PHARMACEUTICALS CO LTD	Jacobio Pharmaceuticals
JACOBIO PHARMACEUTICALS CO., LTD	Jacobio Pharmaceuticals
JAGOTEC AG	Jagotec AG
JAMES BLACK FOUNDATION	James Black Foundation
JANSSEN BIOPHARMA INC	Johnson and Johnson
JANSSEN BIOTECH INC	Johnson and Johnson
JANSSEN PHARAMACEUTICA, N.V.	Johnson and Johnson
JANSSEN PHARAMCEUTICA NV	Johnson and Johnson
JANSSEN PHARMACEUTICA N Y	Johnson and Johnson
JANSSEN PHARMACEUTICA NV	Johnson and Johnson
JANSSEN PHARMACEUTICA, N.V.	Johnson and Johnson
JANSSEN PHARMACEUTICALS INC	Johnson and Johnson
JANSSEN R & D IRELAND	Johnson and Johnson
JANSSEN SCIENCES IRELAND UC	Johnson and Johnson
JAPAN AS REPRESENTED BY GENERA	Japan Science and Technology Agency
JAPAN HEALTH SCIENCES FOUND	Japan Health Sciences Foundation
JAPAN SCIENCE & TECH AGENCY	Japan Science and Technology Agency
JAPAN SCIENCE & TECH CORP	Japan Science and Technology Agency
JAPAN SCIENCE AND TECHNOLOGY AGENCY	Japan Science and Technology Agency
JAPAN TABACCO INC	Japan Tobacco
JAPAN TOBACCO INC	Japan Tobacco
JAPAN TOBACCO, INC	Japan Tobacco
JAPANESE R AND D ASSOC FOR NEW	Japan Science and Technology Agency
JD BIOSCIENCE INC	JD Bioscience
JEIL PHARMACEUTICAL CO LTD	Jeil Pharmaceutical
JIANGSU AOSAIKANG PHARM CO LTD	Aosaikang Pharma
JIANGSU ATOM BIOSCIENCE AND PHARMACEUTICAL CO LTD	Atom Bioscience
JIANGSU HANSOH PHARMACEUTICAL	Hansoh Pharma
JIANGSU HANSOH PHARMACEUTICAL GROUP CO LTD	Hansoh Pharma
JIANGSU HENGRUI MEDICINE CO	Jiangsu Hengrui Medicine
JOHANN WOLFGANG GOETHE UNIV FRANKFURT AM MAIN	Goethe University Frankfurt
JOHNSON & JOHNSON PHARM RES	Johnson and Johnson
JOHNSON MATTHEY PLC	Johnson Matthey
JOINT STOCK COMPANY â€œBIOCADâ€	BIOCAD
JOUNCE THERAPEUTICS INC	Jounce Therapeutics
JPV01 LTD	JPV01 ltd.
JSC GRINDEKS	Grindeks
JUBILANT LIFE SCIENCES LTD	Jubilant Life Sciences
KAKEN PHARMA CO LTD	Kaken Pharmaceutical
KALLYOPE INC	Kallyope
KALYPSYS INC	Kalypsys
KALYRA PHARMACEUTICALS INC	Kalyra Pharmaceuticals
KANCERA AB	Kancera
KANEKA CORP	Kaneka Corporation
KANEKA CORPORATION	Kaneka Corporation
KANEQ PHARMA	Kaneq Bioscience Ltd
KANEQ PHARMA INC	Kaneq Bioscience Ltd
KAOHSIUNG MEDICAL UNIVERSITY	Kaohsiung Medical University
KARDIATONOS INC	Kardiatonos
KARO BIO AB	Karo Pharma
KAROBIO AB	Karo Pharma
KARYOPHARM THERAPEUTICS INC	Karyopharm Therapeutics
KATHOLIEKE UNIVERSIFEIT LEUVEN	KU Leuven
KCC SILICONE CORP	Kumkang Korea Chemicals Co
KEMIA INC	Kemia
KEMPHARM INC	KemPharm
KENJOCKETY BIOTECHNOLOGY INC	Kenjockety Biotechnology
KING ABDULAZIZ UNIVERSITY	King Abdulaziz University
KINJIRUSHI CO LTD	Kinjirushi
KIRIN HOLDINGS KABUSHIKI KAISHA	Kirin Holdings
KIRIN PHARMA KK	Kirin Holdings
KISSEI PAHRMACEUTICAL CO., LTD.	Kissei
KISSEI PHARMACEUTICAL	Kissei
KISSEI PHARMACEUTICAL CO., LTD.	Kissei
KITASATO INST	The Kitasato Institute
KONICA MINOLTA INC	Konica Minolta
KOREA INST SCI & TECH	Korea Institute of Science and Technology
KOREA RES INST CHEM TECH	Korea Research Institute of Chemical Technology
KOREA RES INST CHEMICAL TECH	Korea Research Institute of Chemical Technology
KOREA RES INST OF BIOSCIENCE	Korea Research Institute of Bioscience & BioTechnology
KRAFT FOODS R & D INC	Kraft Foods Inc
KRKA D D NOVO MESTO	Krka
KRONOS BIO INC	Kronos Bio
KT & G CORP	Korea Tobacco and Ginseng Corporation
KTB TUMORFORSCHUNGSGESELLSCHAF	KTB Tumorforschungsgesellschaft
KTN BIOTEC INC	Knowledge Transfer Network (KTN)
KUMQUAT BIOSCIENCES INC	Kumquat Biosciences
KURARAY CO	Kuraray
KURARAY NORITAKE DENTAL INC	Kuraray
KUREHA CHEMICAL IND CO LTD	Kureha Corporation
KUREHA CORP	Kureha Corporation
KWS SAAT SE & CO KGAA	KWS Saat
KYMERA THERAPEUTICS INC	Kymera Therapeutics
KYN THERAPEUTICS	Ikena Oncology
KYOTO ELECTRONICS MFG	Kyoto Electronics Manufacturing
KYOWA HAKKO KIRIN CO LTD	Kyowa Kirin
KYOWA HAKKO KIRIN CO., LTD.	Kyowa Kirin
KYOWA KIRIN CO LTD	Kyowa Kirin
KYPHIA PHARMACEUTICALS INC	Kyphia Pharmaceuticals
KÃ˜BENHAVNS UNI	University of Copenhagen
KØBENHAVNS UNI	University of Copenhagen
LANXESS DEUTSCHLAND GMBH	Lanxess
LAURUS LABS LTD	Laurus Labs
LEAD DISCOVERY CENTER GMBH	Lead Discovery Center GmbH
LEAD DISCOVERY SIENA S R L	Lead Discovery Siena
LEADIANT BIOSCIENCES SA	Leadiant Biosciences
LEK PHARMACEUTICALS	Novartis
LEO PHARMA AS	LEO Holding
LES LABORATOIRES SERVIER	Servier
LES LABORATOIRES SERVIER SAS	Servier
LEXICON PHARMACEUTICALS INC	Lexicon Pharmaceuticals
LG CHEM INVESTMENT LTD	LG Chem
LG CHEM INVESTMENT LTD.	LG Chem
LG CHEMICAL LTD	LG Chem
LIEBER INST FOR BRAIN DEV	Lieber Institute for Brain Development (LIBD)
LIEBER INST FOR BRAIN DEVELOPMENT	Lieber Institute for Brain Development (LIBD)
LIEBER INST INC	Lieber Institute for Brain Development (LIBD)
LIEBER INST INC DBA LIEBER INST FOR BRAIN DEVELOPMENT	Lieber Institute for Brain Development (LIBD)
LIFE TECHNOLOGIES CORP	Thermo Fisher Scientific
LIFELINE NUTRACEUTICALS CORP	LifeVantage
LIFEVANTAGE CORP	LifeVantage
LIGAND PHARM INC	Ligand Pharmaceuticals
LIGAND PHARMCEUTICALS INC	Ligand Pharmaceuticals
LIGHTSHIP MEDICAL LTD	Lightship
LILLY CO ELI	Lilly
LIN BIOSCIENCE LLC	Lin BioScience
LIN BIOSCIENCE PTY LTD	Lin BioScience
LINNAEUS THERAPEUTICS INC	Linnaeus Therapeutics
LITTLE SCIENTIST CO LTD	Little Science Co
LIVET AG	LiVET AG
LONDON HEALTH SCI CT RES INC	London Health Sciences Centre
LONG ISLAND JEWISH RES INST	Long Island Jewish Medical Center (LIJMC)
LONGEVICA PHARMACEUTICALS INC	Longevica
LONZA AG	Lonza Group
LOXO ONCOLOGY INC	Loxo Oncology, Inc.
LPATH INC	Lpath
LTB4 SWEDEN AB	LTB4 Sweden
LTT BIO PHARMA CO LTD	LTT Bio-Pharma
LTT BIO-PHARMA CO LTD	LTT Bio-Pharma
LUDWIG MAXIMILIANS UNIV MUNCHEN	Ludwig Maximilian University of Munich
LUDWIG MAXIMILIANS UNIVERSITÃ„T MÃœNCHEN	Ludwig Maximilian University of Munich
LUDWIG MAXIMILIANS UNIVERSITÄT MÜNCHEN	Ludwig Maximilian University of Munich
LUNELLA BIOTECH INC	Lunella Biotech
LUPIN LTD	Lupin
LYCERA CORP	Lycera
LYSOSOMAL THERAPEUTICS INC	Lysosomal Therapeutics, Inc.
MAITHRI DRUGS PRIVATE LTD	Maithri Drugs
MALLINCKRODT INC	Mallinckrodt
MANGOSUTHU UNIV OF TECH	Mangosuthu University of Technology
MANGOSUTHU UNIV OF TECHNOLOGY	Mangosuthu University of Technology
MANNKIND CORP	MannKind Corporation
MAPI PHARMA LTD	Mapi Pharma
MARS INC	Mars
MARUISHI PHARMA	Maruishi Pharmaceutical
MASSACHUSETTS GEN HOSPITAL	Massachusetts General Hospital
MASSACHUSETTS INST TECHNOLOGY	Massachusetts Institute of Technology
MASSEY UNIVERSITY	Massey University
MATRIX LAB LTD	Matrix Labs
MAX PLANCK GES ZUR FÖRDERUNG DER WISSENSCHAFTEN E V	Max Planck Society
MAX PLANCK GESELLSCHAFT	Max Planck Society
MAX-PLANCK-GESELLSCHAFT ZUR FÖRDERUNG DER WSS E V	Max Planck Society
MAX-PLANCK-GESELLSCHAFT ZUR FÖRDERUNG DER WSS E V	Max Planck Society
MAYO FOUND MEDICAL EDUCATION & RES	Mayo Foundation for Medical Education and Research
MAYO FOUNDATION	Mayo Foundation for Medical Education and Research
MCGILL UNIVERSITY	McGill University
MD BIOALPHA CO LTD	BioAlpha
MD PHARMA AB	MD PHARMA
MDS INC DBA MDS SCIEX	Sciex
MEDICAL RES COUNCIL TECHNOLOGY	Medical Research Council (MRC)
MEDICAL RESEARCH COUNCIL TECH	Medical Research Council (MRC)
MEDICHEM SA	Medichem S.A.
MEDIVATORS INC	Steris
MEDIZINISCHE HOCHSCHULE HANNOVER MHH	Hannover Medical School
MEDLYTE INC	Medlyte
MEDLYTE INC SDSU HEART INST	Heart Institute
MEDSHINE DISCOVERY INC	Medshine Discovery
MEGAFINE PHARMA (P) LTD	Megafine
MEGAFINE PHARMA P LTD	Megafine
MEI PHARMA INC	MEI Pharma
MELINTA THERAPEUTICS INC	Melinta Therapeutics
MEMORIAL SLOAN KETTERING CANCER CENTER	Memorial Sloan Kettering Cancer Center (MSKCC)
MEMORIAL SLOAN-KETTERING CANCER CENTER	Memorial Sloan Kettering Cancer Center (MSKCC)
MENARINI INT OPERATIONS LU SA	Menarini Group
MENTIS CURA EHF	Mentis Cura
MERCK & CO INC	Merck
MERCK & CO., INC.	Merck
MERCK FROSST CANADA INC	Merck
MERCK FROSST CANADA L L C	Merck
MERCK FROSST CANADA LTD	Merck
MERCK PATENT GESELLSCHAFT	Merck
MERCK PATENT GESSELSCHAFT MIT BESCHRANKTER HAFTUNG	Merck
MERCK PATENT GMBH	Merck
MERCK PATETN GMBH	Merck
MERCK SERONO SA	Merck
MERCK SHARP & DOHME	Merck
MERCK SHARP & DOHME B.V.	Merck
MERCK SHARP & DOHME CORP.	Merck
MERCK SHARP & DOHME ITALIA S P	Merck
MERCK SHARP DOHME ITALIA S P A	Merck
MERCK& CO., INC.	Merck
MERZ PHARMA GMBH & CO KGAA	Merz
METABOLEX INC	CymaBay Therapeutics
METABOLON INC	Metabolon
METABOMED LTD	Metabomed
METACRINE INC	Metacrine
METIS CURA EHF	Metis cura ehf
METRIOPHARM AG	MetrioPharm
METS ASIS THERAPEUTICS INC	Ligand Pharmaceuticals
MEXICANO INST PETROL	Mexican Petroleum Institute
MICROSALS, LLC	Microsal
MICURX PHARMACEUTICALS INC	MicuRx
MIDDLE TENNESSEE STATE UNIV	Middle Tennessee State University
MIDWEST RESEARCH INST	MRIGlobal
MIIKANA THERAPEUTICS CORP	CASI Pharmaceuticals
MINDSET PHARMA INC	Mindset Pharma
MINORYX THERAPEUTICS S L	Minoryx
MIRATI THERAPEUTICS INC	Mirati Therapeutics
